Product,Issue,Sub-issue,Consumer complaint narrative
Debt collection,Attempts to collect debt not owed,Debt is not yours,"I am filing this complaint because several accounts listed on my credit report involve unverified or inaccurate information. Despite sending certified mail to request validation of these debts, I have not received a proper response. These actions violate my rights under federal laws, including 15 U.S.C. 1681b, 15 U.S.C. 6802, and 12 U.S.C. 6802, which regulate the proper handling of consumer information and debt collection practices. Below are the accounts and specific issues : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Balance : {$2200.00} Issue : On XX/XX/XXXX, I sent a certified debt validation request ( USPS Tracking # XXXX ), which was delivered between XX/XX/XXXX. I have not received a response. The collection agency has failed to prove ownership of the debt or provide supporting documentation, violating my rights under the FDCPA and FCRA. XXXX XXXX XXXX  XXXX XXXX XXXX XXXX ) : Balance : {$1200.00} Issue : I do not recognize this debt nor the collection agency managing it. Despite sending a certified validation request, I have received no response. This lack of response and continued reporting violates 15 U.S.C. 1681b regarding permissible purposes for sharing consumer information. XXXX XXXX XXXX XXXX XXXX XXXX ) XXXX : {$260.00} Issue : I do not recognize this account, which has been inaccurately marked under "" fraud. '' I sent a certified debt validation request on XX/XX/XXXX, but the collection agency has not provided any documentation or proof of this debt. XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX  : Balance : {$1000.00} Issue : This account has been reported by XXXX XXXX XXXX without proper validation. Despite a certified mail request sent on XX/XX/XXXX, no response or documentation has been provided. This violates 12 U.S.C. 6802, which governs the sharing of consumer financial information without proper consent or verification. XXXX XXXX : Balance : {$2300.00} Issue : The original creditor is reporting this debt as charged off. However, I have no knowledge of this account. My certified mail request for validation has not been answered. XXXX XXXX XXXX XXXX : {$0.00} ( Charged Off ) Issue : This account has been sold to another lender, yet I have received no information about the new creditor. This creates an incomplete and unverifiable record on my credit report, violating my rights under 15 U.S.C. 1681b. Violations of Federal Laws Fair Debt Collection Practices Act ( FDCPA ) : Collection agencies are continuing to report and pursue debts without validating their claims, in violation of my rights under the FDCPA. Fair Credit Reporting Act ( FCRA ) 15 U.S.C. 1681b : Information has been shared with collection agencies without proper validation or permissible purpose. Gramm-Leach-Bliley Act ( GLBA ) 12 U.S.C. 6802 : My financial information has been shared without my knowledge or consent, violating federal privacy protections. On XX/XX/XXXX, I sent a certified mail request for validation to the collection agency handling this account. The XXXX tracking number for this request is XXXX XXXX XXXX XXXX XXXX XXXX XXXX, and it was confirmed delivered between XX/XX/XXXX. To date, I have not received a response or documentation validating this debt. As per the Fair Credit Reporting Act ( FCRA ) and the Fair Debt Collection Practices Act ( FDCPA ), this failure to validate violates my consumer rights. I respectfully request that this account be removed immediately from my credit report. 



On XX/XX/XXXX, I sent a certified mail request for validation to the collection agency, tracked via USPS # XXXX XXXX XXXX XXXX XXXX XXXX XXXX. This request was confirmed delivered between XX/XX/XXXX, but I have not received a response. 

Under the FCRA and FDCPA, failure to validate a debt is grounds for removal. I respectfully request that this account be deleted from my credit report."
Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,
Debt collection,False statements or representation,Attempted to collect wrong amount,"I am writing to dispute 2 collections account reported by Portfolio Recovery on my XXXX credit report. These accounts have been reviewed and deleted by XXXX due to inaccurate reporting and lack of validation. Despite the deletion by XXXX, XXXX continues to report these accounts, which is a violation of the Fair Credit Reporting Act ( FCRA ). 

Specifically, the information appears to be inaccurate or unverifiable. The continued reporting of these accounts creates inconsistencies between the credit bureaus, unfairly affecting my credit profile. I have attached documentation supporting my claim, including Proof from my XXXX credit report showing the account 's deletions confirming the accounts were removed. I request that the CFPB investigate this matter promptly and ensure that XXXX removes these accounts from my credit report, reflecting accurate and consistent information."
Credit card,Fees or interest,Problem with fees,"There was a fraudulent charge on my credit card. The charges were reversed, but Regions Bank had to cancel my existing credit card and issue a new credit card. When they issued the new card, they canceled autopay without telling me about it. After the first late fee was assessed, I challenged the late fee on the grounds that they had canceled autopay without telling me. They reversed the late fee. I checked the account online to confirm autopay was active. It said it was. Yet, again, the next month autopay did not go through. I was charged another late fee. They would not remove this fee. I called to tell them that autopay was enabled. They said the online system was incorrect. They said you can not set up autopay online even though there is an option to set up autopay online. They said I would have to mail in a form to set up autopay. I mailed that form in XXXX. It is the end of XXXX and XXXX has still not gone through. I was charged another late fee despite having mailed an autopay authorization two months ago. Again, they will not remove this late fee."
Credit card,"Advertising and marketing, including promotional offers",Confusing or misleading advertising about the credit card,
Credit card,Getting a credit card,Card opened without my consent or knowledge,
Debt collection,Communication tactics,"You told them to stop contacting you, but they keep trying",
Credit card,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,
Vehicle loan or lease,Repossession,Loan balance remaining after the vehicle is repossessed and sold,"Failure to Disclose Notice of Sale and GAP Insurance Credits by Flagship Credit Acceptance I am writing to formally notify the Consumer Financial Protection Bureau ( CFPB ) regarding the refusal of Flagship Credit Acceptance to provide essential disclosures related to the repossession and subsequent sale of my vehicle. Despite my repeated requests, Flagship Credit Acceptance has failed to disclose the following critical information : 1. **Notice of Sale** : The lender has not provided the required notice detailing the sale of the repossessed vehicle, including the sale price, as mandated by applicable state laws. 2. **GAP Insurance Credits** : I have requested information regarding any amounts credited from my Guaranteed Asset Protection ( GAP ) insurance that were applied towards the sale price of the vehicle and the remaining loan balance. This information is crucial for understanding my financial obligations following the repossession. Under California law, lenders are obligated to provide a detailed accounting of the sale of repossessed vehicles, including the sale price and any credits from GAP insurance [ [ 3 ] ] The lack of transparency in this matter not only violates my rights as a consumer but also undermines the regulatory framework designed to protect borrowers from unfair practices. I urge the CFPB to investigate this matter and take appropriate action to ensure that Flagship Credit Acceptance complies with its legal obligations. The failure to disclose this information is detrimental to my financial well-being and may constitute a violation of the Consumer Financial Protection Act."
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Debt collection,Attempts to collect debt not owed,Debt is not yours,"I am writing to formally dispute the debt listed below, which appears on my credit report and is being reported by your company. I believe this debt is inaccurate and/or unverified, and I am requesting a thorough investigation to resolve this matter. 
Debt Reference Number/Account Number : XXXX Original Creditor : I C SYSTEM Amount in Dispute : {$780.00} I have reviewed my credit report and have found this debt to be inaccurate or unverifiable for the following reasons : I do not recognized this account Under the Fair Debt Collection Practices Act ( FDCPA ) and the Fair Credit Reporting Act ( FCRA ), I am requesting that you : 1. Provide written validation of this debt, including the original signed agreement or documentation showing I owe this debt.

2. Investigate the validity of the claim and remove it from my credit report if it can not be verified.

3. Provide me with a written statement of your findings and the steps taken as a result of this dispute. 

If you can not verify this debt within the legally required timeframe, I request that you cease collection efforts and remove it from my credit report immediately. 

I look forward to your response within 30 days, as required by law. Please send all correspondence regarding this matter to my address above. 

Thank you for your attention to this matter."
Student loan,Dealing with your lender or servicer,Problem with customer service,"I sent my IDR application to Mohela to get out of the forced forbearance with XXXX XXXX, but they refuse to process it, and are blaming the courts, which is likely illegal- per their usual M.O.. Mohela is a criminal organization trying to steer me in the wrong direction and block my chances of XXXX at every turn with their willful incompetence."
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,
Mortgage,Trouble during payment process,Trying to communicate with the company to fix an issue while managing or servicing your loan,"In XXXX of this year 2024 I was told by my mortgage company XXXX XXXX that my home value increase property taxes of {$810.00} will be added to my mortgage, and payment will increase from {$1300.00} to {$1400.00} across the loan of XXXX remaining. I called in immediately, the representative told me they can not do anything at this time and someone will contact me back to go over the details. I told them at that time I'd pay the taxes owed so my mortgage won't change. I was then told to wait to pay it, and someone will call me to set up the payment. No one called back after a week past. During this time I was in a car accident and after XXXX weeks past, I received a letter stating that my mortgage company has changed to XXXX XXXX. I was going through doctor visits, procedures, and was in very bad condition to pursue the process of the new mortgage company, and to find out if the issue was resolved. I then saw the amount never changed and {$1400.00} was my new expected mortgage payment to XXXX XXXX. This increase will add an additional {$45000.00} to my mortgage. They added it without my knowledge that they were selling my loan. Now my new mortgage company is looking to charge me this illegally set mortgage payment. I need action to be done to correct this and put back my mortgage where it should be at {$1300.00}."
